链接,标题,时间
"http://guba.eastmoney.com/news,zssh000001,837669352.html",看到美国在跌，我就放心了！,2019-06-01 00:00
"http://guba.eastmoney.com/news,zssh000001,837669649.html", 一场轰轰烈烈的闹剧就要收场！尘埃落定之后大A正式开始牛市[献花],2019-06-01 00:02
"http://guba.eastmoney.com/news,zssh000001,837669933.html",上证指数多空看盘,2019-06-01 00:04
"http://guba.eastmoney.com/news,zssh000001,837669982.html",今天儿童节，不管投资顺不顺都说童年最美好开心，在这里祝小童鞋节日快乐健康成长。但,2019-06-01 00:05
"http://guba.eastmoney.com/news,zssh000001,837670025.html",不同的立场，不同的角度会有不同的观点，观点多半来自于内心的期望，这是不可避免的，,2019-06-01 00:07
"http://guba.eastmoney.com/news,zssh000001,837670564.html",大唐电信 是不是跟好奇 今天没现身龙虎榜、 每个人自身积累不同、理解的东西也就不,2019-06-01 00:22
"http://guba.eastmoney.com/news,zssh000001,837670628.html",A股史上最罕见的月线大缺口诞生吶！……,2019-06-01 00:24
"http://guba.eastmoney.com/news,zssh000001,837672283.html",今天6.1儿童节了，5月业绩不及预期。希望6月能有所好转。[大笑][大笑][献花,2019-06-01 00:41
"http://guba.eastmoney.com/news,zssh000001,837672832.html",根据富时罗素公布的计划，A股纳入将分三步走：2019年6月21号纳入20%，20,2019-06-01 00:47
"http://guba.eastmoney.com/news,zssh000001,837672871.html",个人对六月走势的一点看法， 首先大盘上涨无力，不具备上涨的空间，加上国际局势紧张,2019-06-01 00:48
"http://guba.eastmoney.com/news,zssh000001,837673681.html",看了下万年历，6.3日忌开市,2019-06-01 01:09
"http://guba.eastmoney.com/news,zssh000001,837675316.html",说句大实话 纳斯达克回到六千多点 茅台回到五百多 就是满仓的时候 你们不要去看什,2019-06-01 01:26
"http://guba.eastmoney.com/news,zssh000001,837675399.html",英雄互娱不查不足以平民愤，把投资者当傻把法制当成摆设强烈谴责,2019-06-01 01:31
"http://guba.eastmoney.com/news,zssh000001,837675489.html",本周大a跑赢美国5%？为何我总觉得天天在跌,2019-06-01 01:37
"http://guba.eastmoney.com/news,zssh000001,837676379.html",这走势如,2019-06-01 01:39
"http://guba.eastmoney.com/news,zssh000001,837679899.html",大盘6月必破2800，看看2700能否顶住[毛估估],2019-06-01 01:40
"http://guba.eastmoney.com/news,zssh000001,837679901.html",大盘就差0.1站上20日均线，这是暗示走向吗？,2019-06-01 01:40
"http://guba.eastmoney.com/news,zssh000001,837680316.html",今天开车去加油，所有标号汽油全降一元一升，充值还折，今年两桶油的业绩肯定不会好,2019-06-01 01:44
"http://guba.eastmoney.com/news,zssh000001,837680334.html",如果黄金冲破1400，大盘就大麻烦了！,2019-06-01 01:45
"http://guba.eastmoney.com/news,zssh000001,837680738.html",这个市场究竟是怎么了？像康美药业如此无法无天，究竟还有多少？我的心在滴血。,2019-06-01 01:49
"http://guba.eastmoney.com/news,zssh000001,837680766.html",预测退市三杰整理板开板顺序 本人预测：退市海润.众和退.华泽退. 准准准………,2019-06-01 01:52
"http://guba.eastmoney.com/news,zssh000001,837680806.html",6月份将跌4到5百点进军2千4！,2019-06-01 01:55
"http://guba.eastmoney.com/news,zssh000001,837680855.html",疯狂,2019-06-01 01:58
"http://guba.eastmoney.com/news,zssh000001,837680880.html",股市1800不是梦，只要钱准备好,2019-06-01 02:00
"http://guba.eastmoney.com/news,zssh000001,837683238.html",顶住，顶住，让同志们先撤，，，，，，,2019-06-01 02:49
"http://guba.eastmoney.com/news,zssh000001,837683336.html",变盘，下砸。,2019-06-01 03:00
"http://guba.eastmoney.com/news,zssh000001,837683382.html",皖江物流 周一有戏，开盘可以追一下！,2019-06-01 03:04
"http://guba.eastmoney.com/news,zssh000001,837683381.html",韭菜多，平常心的人，少。不服就说说啊,2019-06-01 03:04
"http://guba.eastmoney.com/news,zssh000001,837685436.html",!静静的看着星期一[微笑][大笑][鼓掌][为什么][哭][怒][滴汗][拜神],2019-06-01 03:20
"http://guba.eastmoney.com/news,zssh000001,837687953.html",这么多人挑灯看盘，还是默默的准备着面条呢,2019-06-01 03:48
"http://guba.eastmoney.com/news,zssh000001,837692636.html",上证指数在1000点一一10000点之间波动，绝对不会错，,2019-06-01 03:55
"http://guba.eastmoney.com/news,zssh000001,837694704.html",国际油价再遭重挫 美油、布油双双大跌6%,2019-06-01 04:20
"http://guba.eastmoney.com/news,zssh000001,837695634.html",涨。金力永磁一样。大盘阳。美跌中国A股涨,2019-06-01 04:24
"http://guba.eastmoney.com/news,zssh000001,837696094.html",涨A股。涨A股,2019-06-01 04:25
"http://guba.eastmoney.com/news,zssh000001,837696833.html",大盘今年上8000点，中华民族崛起。,2019-06-01 04:31
"http://guba.eastmoney.com/news,zssh000001,837696933.html",美股大跌，星期一有理由破2800了！,2019-06-01 04:39
"http://guba.eastmoney.com/news,zssh000001,837698990.html",星期一关灯吃面[哭],2019-06-01 04:43
"http://guba.eastmoney.com/news,zssh000001,837701283.html",A股来机会了。,2019-06-01 04:50
"http://guba.eastmoney.com/news,zssh000001,837701294.html",中国的房地产，汇市，股市,2019-06-01 04:52
"http://guba.eastmoney.com/news,zssh000001,837701421.html",有个自诩为：首席的人去哪了？说什么上证涨到四千，五千的，而且还是已知的，咋不出来,2019-06-01 04:54
"http://guba.eastmoney.com/news,zssh000001,837701557.html",雪里红 谁说女子不如男？ 股票炒作有点悬， 黑庄恶庄压不住， 一切幻想在输钱。,2019-06-01 04:57
"http://guba.eastmoney.com/news,zssh000001,837701938.html",希望证监会和机构散户们能打响大A股保卫战！大盘要稳住啊！,2019-06-01 05:00
"http://guba.eastmoney.com/news,zssh000001,837701940.html",鉴于十多年来房租水平一直停滞不前，一直是世纪初的水平，本人决定补齐本人100平米,2019-06-01 05:00
"http://guba.eastmoney.com/news,zssh000001,837704063.html",长期大量发行新股，指数肯定上涨。,2019-06-01 05:08
"http://guba.eastmoney.com/news,zssh000001,837705765.html",华为任总为什么最担心的不是行业标准，操作系统和芯片，而是教育呢？[献花][献花],2019-06-01 05:14
"http://guba.eastmoney.com/news,zssh000001,837706116.html",期待黑周一,2019-06-01 05:18
"http://guba.eastmoney.com/news,zssh000001,837706967.html",下周一开始砸指数。每天砸100点,2019-06-01 05:30
"http://guba.eastmoney.com/news,zssh000001,837709841.html",周一完了又要大跌了,2019-06-01 05:36
"http://guba.eastmoney.com/news,zssh000001,837710067.html",日元大幅升值，，当心一点,2019-06-01 05:37
"http://guba.eastmoney.com/news,zssh000001,837710409.html",诡异的A股市场,2019-06-01 05:41
"http://guba.eastmoney.com/news,zssh000001,837710468.html",3052-3288的煎熬，逐渐会演绎成什么？,2019-06-01 05:43
"http://guba.eastmoney.com/news,zssh000001,837712136.html",星期一多少点开盘，现在是2898，先跌个100点？,2019-06-01 05:45
"http://guba.eastmoney.com/news,zssh000001,837713380.html",5月大A完胜美股，下个月继续加油，5月份大A完成三重底的筑建，底部信号已经明朗，,2019-06-01 05:50
"http://guba.eastmoney.com/news,zssh000001,837713464.html",好多大师都在吹牛好犀利！我没大湿们那么有米，就默默的炒个几千块的，收益也还过得去,2019-06-01 05:56
"http://guba.eastmoney.com/news,zssh000001,837715637.html",祝天下所有的小朋友们，六一儿童节快乐！,2019-06-01 06:02
"http://guba.eastmoney.com/news,zssh000001,837715639.html",五穷六绝，六月2639,2019-06-01 06:03
"http://guba.eastmoney.com/news,zssh000001,837715714.html",对下周和节后的走势做了一个推盘。,2019-06-01 06:07
"http://guba.eastmoney.com/news,zssh000001,837715799.html",在有十年不知能不能站上6124点,2019-06-01 06:12
"http://guba.eastmoney.com/news,zssh000001,837716441.html","威尔药业是个多么伟大的公司： 在药用辅料方面,公司为华润三九医药、神威药业、步长",2019-06-01 06:21
"http://guba.eastmoney.com/news,zssh000001,837716917.html",周一关灯吃面！！！,2019-06-01 06:29
"http://guba.eastmoney.com/news,zssh000001,837716993.html",无所谓，一些人不服气，禁我。玩玩,2019-06-01 06:32
"http://guba.eastmoney.com/news,zssh000001,837717006.html",谁能说说T和倒T的组合是什么东东？求大神,2019-06-01 06:32
"http://guba.eastmoney.com/news,zssh000001,837717231.html",要坚守自己的投资风格，高度自律，拒绝各种赚快钱的诱惑！,2019-06-01 06:36
"http://guba.eastmoney.com/news,zssh000001,837717255.html",看看下星期一又个大跌，,2019-06-01 06:37
"http://guba.eastmoney.com/news,zssh000001,837717388.html",6月好时节！开盘先洗洗！周一见！,2019-06-01 06:42
"http://guba.eastmoney.com/news,zssh000001,837717501.html",大盘小级别高位死叉，券商日线级别很不看好！下周的下跌空间有限2860，又是一个一,2019-06-01 06:46
"http://guba.eastmoney.com/news,zssh000001,837717561.html",我刚整容回来,2019-06-01 06:48
"http://guba.eastmoney.com/news,zssh000001,837717569.html",关于铜茶具与银茶具的一点心得：铜茶具几乎没有保健作用！银茶具有杀菌作用，有检毒作,2019-06-01 06:49
"http://guba.eastmoney.com/news,zssh000001,837717585.html",元芳，你怎么看？,2019-06-01 06:49
"http://guba.eastmoney.com/news,zssh000001,837717599.html",投资资金安全最重要。投资是一场持久战，追求的是长远的复利，又如同攀岩，无论你之前,2019-06-01 06:50
"http://guba.eastmoney.com/news,zssh000001,837717620.html",但求雪中送碳，不求锦上添花！1月至今的行情已画上一个句号！！！,2019-06-01 06:51
"http://guba.eastmoney.com/news,zssh000001,837717674.html",如果华为，小米，vivo等等手机，联想华为电脑继续出海，没有美国的系统及各种软件,2019-06-01 06:52
"http://guba.eastmoney.com/news,zssh000001,837717641.html",6.3低开5个点，收长阳，补缺口！,2019-06-01 06:52
"http://guba.eastmoney.com/news,zssh000001,837717754.html",受外围市场拖累，更换尿不湿，低开探底！,2019-06-01 06:55
"http://guba.eastmoney.com/news,zssh000001,837717964.html",根据每一次危机理论，中国软件企业实现华为提出的跨手机和电脑的一体化系统，将成为中,2019-06-01 06:56
"http://guba.eastmoney.com/news,zssh000001,837718079.html",道琼斯放量击穿布林下轨线，下一个交多日必红。但不改走C浪下跌趋势！,2019-06-01 06:58
"http://guba.eastmoney.com/news,zssh000001,837718085.html",下周一盘中决定干哪一只！[加油],2019-06-01 06:58
"http://guba.eastmoney.com/news,zssh000001,837718123.html",又到盘整行情，洽逢昨晚美股大跌，癌股也不能独善其身。如无意外周一会大幅低开，尾市,2019-06-01 06:59
"http://guba.eastmoney.com/news,zssh000001,837718243.html",先踩回去2800，大家都没意见，2889和2800有区别吗？不差那几十点。 赶紧,2019-06-01 07:03
"http://guba.eastmoney.com/news,zssh000001,837718731.html",炒股风险恶如虎！ 看看此股走势，炒股让你担寒！太可怕了，炒股风险恶如虎，一不小心,2019-06-01 07:16
"http://guba.eastmoney.com/news,zssh000001,837718808.html",下周一估计还是会磨磨蹭蹭，小红或者小绿,2019-06-01 07:19
"http://guba.eastmoney.com/news,zssh000001,837719221.html",逢低潜伏是王道。追高是一辆收割机，看似诱惑无限，大把涨停只需自己伸手去捡，却不知,2019-06-01 07:32
"http://guba.eastmoney.com/news,zssh000001,837719418.html",昨晚道琼斯暴跌，但beyond人造肉股票走出独立大涨行情，涨疯了,2019-06-01 07:35
"http://guba.eastmoney.com/news,zssh000001,837719431.html",5月道指点评：一根长阴穿场过，C浪调整继续走。6月高点25200~25300点，,2019-06-01 07:36
"http://guba.eastmoney.com/news,zssh000001,837719536.html",还是贵,2019-06-01 07:37
"http://guba.eastmoney.com/news,zssh000001,837719760.html",做空股指顺势而为,2019-06-01 07:39
"http://guba.eastmoney.com/news,zssh000001,837720215.html",大盘感觉还是有风险，避险除了医药是不是还有黄金？,2019-06-01 07:46
"http://guba.eastmoney.com/news,zssh000001,837720259.html",看评论市场恐慌情绪很重，但这几天大盘并没有跌，大家有没有发现一个问题，最近A股和,2019-06-01 07:47
"http://guba.eastmoney.com/news,zssh000001,837720313.html",沉迷股市的人早割早安乐，改邪归正，重新做人。改变人生，脱身换骨，,2019-06-01 07:48
"http://guba.eastmoney.com/news,zssh000001,837720332.html",谁能告诉我，东方财富手机版怎么设置坐标系，就是统一涨停价坐标系，我看其他软件都有,2019-06-01 07:49
"http://guba.eastmoney.com/news,zssh000001,837720471.html",6月道穷死走势瞎猜，猜测不够成操作意见，风险自负！,2019-06-01 07:54
"http://guba.eastmoney.com/news,zssh000001,837720481.html",“黑芝麻”000716蓄势待发，下周有望上涨30%。,2019-06-01 07:54
"http://guba.eastmoney.com/news,zssh000001,837720533.html",一根大阳线打败美帝野心狼。,2019-06-01 07:56
"http://guba.eastmoney.com/news,zssh000001,837720529.html",有点意思，新加坡富时A50居然翻红。,2019-06-01 07:56
"http://guba.eastmoney.com/news,zssh000001,837720607.html",又完了美股大跌百分之一，周一A股小跌百分之五,2019-06-01 07:58
"http://guba.eastmoney.com/news,zssh000001,837721511.html",每个行业都有独特的思考模型和行为方法，。 好问题是随着积累“长”出来的,2019-06-01 08:05
"http://guba.eastmoney.com/news,zssh000001,837722012.html",美股怂了一周！大A算马马虎虎了！下周一要是能涨！世界都敬仰你,2019-06-01 08:08
"http://guba.eastmoney.com/news,zssh000001,837722158.html",之前2440的时候大环境是什么如何，现在2898大环境是更好了还是更坏了,2019-06-01 08:11
"http://guba.eastmoney.com/news,zssh000001,837722273.html",19年4月保利结束了对天房的共管，天房混改被天津市重新提上日程。秉承为天津市分忧,2019-06-01 08:14
"http://guba.eastmoney.com/news,zssh000001,837722286.html",“非洲大陆自由贸易区协议” 5月30日正式生效，签署协议的非洲国家之间将逐步取消,2019-06-01 08:14
"http://guba.eastmoney.com/news,zssh000001,837722303.html",上海、江苏、浙江联合发布《长三角一体化发展2019年电力行动计划》，将首先在上海,2019-06-01 08:15
"http://guba.eastmoney.com/news,zssh000001,837722344.html",一：众兴菌业002772 从2015年上市至今，共募集资金15.33亿，给股民的,2019-06-01 08:17
"http://guba.eastmoney.com/news,zssh000001,837722357.html",需然我力量有限，但我有一颗中国心，华为加油！,2019-06-01 08:17
"http://guba.eastmoney.com/news,zssh000001,837722378.html",近期一直被20均线压制,2019-06-01 08:18
"http://guba.eastmoney.com/news,zssh000001,837722523.html",好了下周一可以跌了，护是护不住的，乖乖跌破2800，跌到2600去，我会考虑来护,2019-06-01 08:22
"http://guba.eastmoney.com/news,zssh000001,837722508.html",下周二低开艹底，记住,2019-06-01 08:22
"http://guba.eastmoney.com/news,zssh000001,837722524.html",六月行情红似火 题材概念全面爆发,2019-06-01 08:22
"http://guba.eastmoney.com/news,zssh000001,837722564.html",铁锅烧土豆 ,2019-06-01 08:23
"http://guba.eastmoney.com/news,zssh000001,837722652.html",上证从1992年95.79点涨到2007年6124.04点，短短15年狂涨了64,2019-06-01 08:26
"http://guba.eastmoney.com/news,zssh000001,837722638.html",六绝大戏3日拉开，所有韭菜准备…,2019-06-01 08:26
"http://guba.eastmoney.com/news,zssh000001,837722710.html",外资北上资金都在等跌了，2900稍微偏高一点。,2019-06-01 08:27
"http://guba.eastmoney.com/news,zssh000001,837722748.html",欧美暴跌，韭菜们，敢进A股吗？,2019-06-01 08:28
"http://guba.eastmoney.com/news,zssh000001,837722841.html",今天国际行情又跌了，A股不开盘，躲过去了，哈哈哈哈！,2019-06-01 08:30
"http://guba.eastmoney.com/news,zssh000001,837722864.html",老衲每日看盘（5月31日收盘）,2019-06-01 08:31
"http://guba.eastmoney.com/news,zssh000001,837722860.html",老儿童们节日快乐[俏皮]小儿童们节日快乐[胜利]（相片儿童摄于革命老区延安）,2019-06-01 08:31
"http://guba.eastmoney.com/news,zssh000001,837723074.html",一看新闻，礼拜一大概会跳空低开。KDJ死叉[傲]，大A的尿性。不信就走着瞧。,2019-06-01 08:34
"http://guba.eastmoney.com/news,zssh000001,837723115.html",5月已经过去，6月已经到来，五穷六绝七翻身，行至水穷处、坐看云起时。绝处自然也能,2019-06-01 08:35
"http://guba.eastmoney.com/news,zssh000001,837723147.html",感觉下周会很惨，不是人呆的地方啊,2019-06-01 08:36
"http://guba.eastmoney.com/news,zssh000001,837723180.html",买股就像买西瓜！有的很甜，有的不太甜，有的不小心掉地上摔碎了。。。,2019-06-01 08:37
"http://guba.eastmoney.com/news,zssh000001,837723451.html",周一大空头又开始表演了。3%？5%？,2019-06-01 08:45
"http://guba.eastmoney.com/news,zssh000001,837723506.html",不畏强敌，迎战！,2019-06-01 08:46
"http://guba.eastmoney.com/news,zssh000001,837723490.html",清仓等2500点,2019-06-01 08:46
"http://guba.eastmoney.com/news,zssh000001,837723532.html",这个中文名的返来吧，外面风大，回来吧！,2019-06-01 08:47
"http://guba.eastmoney.com/news,zssh000001,837723541.html",横店东磁目前价格太低，正准备向59.7元的稀土磁龙头金力永磁靠拢。,2019-06-01 08:47
"http://guba.eastmoney.com/news,zssh000001,837723594.html",热烈庆祝下周要大涨 要不怎么发4只新股呢 如果没有准备 在美股 欧洲 外围一片大,2019-06-01 08:49
"http://guba.eastmoney.com/news,zssh000001,837723714.html",大盘大盘冲出亚洲走向世界,2019-06-01 08:52